tissue_type,subtype,gene,pct_in,pct_out,log2fc,auc,present_in_census,composite
breast,Lymphatic endothelial cells,PECAM1,0.37675,0.0274,5.357178211212158,0.6773951649665833,True,0.5117861677360535
breast,Lymphatic endothelial cells,SOX18,0.334,0.0088,6.417716026306152,0.6632013916969299,True,0.4956011252784729
breast,Lymphatic endothelial cells,RAMP2,0.37575,0.0566,4.008097171783447,0.6637017130851746,True,0.49479137046813965
breast,Lymphatic endothelial cells,TIE1,0.32925,0.0068,5.87067985534668,0.6614400148391724,True,0.4936420118713379
breast,Lymphatic endothelial cells,NRP1,0.44525,0.1046,2.767271041870117,0.676850438117981,True,0.48633746660232546
breast,Lymphatic endothelial cells,AQP1,0.312875,0.0358,4.9002790451049805,0.6416803598403931,True,0.4687592938327789
breast,Lymphatic endothelial cells,TSPAN7,0.28675,0.0086,5.836224555969238,0.6395048499107361,True,0.4672338978099823
breast,Lymphatic endothelial cells,KDR,0.272,0.0082,5.553842067718506,0.6321460604667664,True,0.45847686625480655
breast,Lymphatic endothelial cells,COL15A1,0.4225,0.0924,2.558149576187134,0.6683250665664673,True,0.45649503471374514
breast,Lymphatic endothelial cells,PDGFB,0.27175,0.0458,3.4407012462615967,0.6149197220802307,True,0.437125795545578
breast,Lymphatic endothelial cells,GATA2,0.206125,0.0112,4.565535068511963,0.5976129174232483,True,0.41707535181999206
breast,Lymphatic endothelial cells,TEK,0.151,0.0028,5.8529157638549805,0.5740917921066284,True,0.38891343368530273
breast,Lymphatic endothelial cells,NRP2,0.353625,0.098,2.2448246479034424,0.6304491758346558,True,0.3799668054580688
breast,Lymphatic endothelial cells,MMRN1,0.112875,0.003,7.580002784729004,0.5550366044044495,True,0.3660043073654175
breast,Lymphatic endothelial cells,COL4A1,0.5325,0.2112,1.6610307693481445,0.6665652394294739,True,0.36361526847839354
breast,Lymphatic endothelial cells,FLT4,0.093875,0.0024,5.331940650939941,0.5457399487495422,True,0.3548869589996338
breast,Lymphatic endothelial cells,PROX1,0.102625,0.024,3.04764723777771,0.5397022366523743,True,0.34748680720329284
breast,Lymphatic endothelial cells,CCL21,0.088,0.0146,6.232003211975098,0.5371220111846924,True,0.34437760894775393
breast,Lymphatic endothelial cells,LYVE1,0.053125,0.0094,3.158752679824829,0.5219132900238037,True,0.32627563201904297
breast,Lymphatic endothelial cells,COL4A2,0.495125,0.2256,1.5036770105361938,0.6422100067138672,True,0.31804071834564207
breast,Lymphatic endothelial cells,GJA5,0.03325,0.0042,3.9737637042999268,0.5145506858825684,True,0.3174505606269836
breast,Normal ductal epithelial cells,ELF3,0.878375,0.143,3.5597002506256104,0.8970444202423096,True,0.7647105481147767
breast,Normal ductal epithelial cells,CLDN4,0.883625,0.1748,4.059049129486084,0.9000954031944275,True,0.7618412987136841
breast,Normal ductal epithelial cells,KRT18,0.920125,0.2274,3.166639566421509,0.9032799601554871,True,0.7611689800453186
breast,Normal ductal epithelial cells,TACSTD2,0.913125,0.2506,3.8188884258270264,0.9014743566513062,True,0.753684461479187
breast,Normal ductal epithelial cells,CLDN7,0.804375,0.1078,4.046300411224365,0.8692959547042847,True,0.7347518114471435
breast,Normal ductal epithelial cells,KRT7,0.877125,0.241,3.666165351867676,0.8761806488037109,True,0.7281695190429688
breast,Normal ductal epithelial cells,KRT8,0.892625,0.2342,2.870725631713867,0.8765527009963989,True,0.7199997716522217
breast,Normal ductal epithelial cells,KRT19,0.8395,0.2032,2.808209180831909,0.8543053269386292,True,0.6915251915550232
breast,Normal ductal epithelial cells,EPCAM,0.74675,0.1232,2.868074893951416,0.8247807621955872,True,0.6713421110725403
breast,Normal ductal epithelial cells,CDH1,0.6905,0.1016,3.487358808517456,0.8069765567779541,True,0.6633612811851501
breast,Normal ductal epithelial cells,CLDN3,0.64275,0.0952,3.053501844406128,0.7792309522628784,True,0.6328948094940186
breast,Normal ductal epithelial cells,KLF5,0.410375,0.1074,2.4989283084869385,0.6570387482643127,True,0.4361188652229309
